0.2 1 1 1 0.921053 0.950413 0 0 0.916667 0.555556 0 0 1
0 1 0 0 0.692105 0.471074 0 0 0.75 0.611111 0 0 1
0.2 1 0.853933 0.848485 0.510526 0.446281 0 0 0.833333 0.277778 0 0 1
0.2 1 0.88764 0.833333 0.692105 0.545455 0 0 0.75 0.888889 0 0 1
0.2 1 0.932584 0.636364 0.652632 0 0 0 0.979167 0.833333 0 0 1
1 0 0.653933 0.509091 1 0.586777 0.295775 1 0 0 0 1 0
1 0 0.608989 0.454545 0.605263 0.297521 0.295775 0.932203 0 0 0 1 0
1 0 0.739326 0.587879 0.881579 0.752066 0.309859 0.966102 0 0 0 1 0
1 0 0.723596 0.481818 0.921053 0.46281 0.338028 0.966102 0 0 0 1 0
1 0 0.689888 0.772727 0.921053 1 0.267606 0.762712 0 0 0 1 0
0.4 0.75 0.735955 0.772727 0.930921 0.545455 0.802817 0.305085 0.979167 0.777778 0 1 1
0.4 0.75 0.685393 0.924242 0.664474 0.700413 0.901408 0.20339 1 0.388889 0 1 1
0.4 0.75 0.601124 0.598485 0.565789 0.0392562 0.887324 0.0169492 0.979167 1 0 1 1
0.4 0.5 0.758427 0.659091 0.697368 0.201102 0.971831 0.152542 0.3125 0.611111 0 1 1
0.4 0.5 0.61236 0.75 0 0.325069 1 0.152542 0.354167 0.277778 0 1 1
